"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","593.00","600.50","641.75","564.50","806.65K","0.25%"
"02/01/2026","591.50","547.25","597.00","531.75","1.72M","8.33%"
"01/01/2026","546.00","518.25","552.75","513.25","644.05K","5.30%"
"12/01/2025","518.50","539.00","544.50","515.50","886.79K","-3.71%"
"11/01/2025","538.50","548.00","568.00","531.75","1.44M","-1.82%"
"10/01/2025","548.50","526.50","551.25","508.50","767.15K","7.97%"
"09/01/2025","508.00","513.75","535.75","495.25","689.27K","-4.91%"
"08/01/2025","534.25","542.50","545.25","517.25","1.47M","2.10%"
"07/01/2025","523.25","527.00","558.00","516.75","771.47K","-1.04%"
"06/01/2025","528.75","534.00","578.25","520.50","1.30M","-3.56%"
"05/01/2025","548.25","532.50","570.50","506.25","958.84K","6.87%"
"04/01/2025","513.00","539.00","556.75","505.00","1.24M","-6.81%"
"03/01/2025","550.50","557.50","591.50","530.00","1.12M","2.51%"
"02/01/2025","537.00","555.00","609.00","539.00","1.36M","-6.16%"
"01/01/2025","572.25","563.00","582.75","537.75","569.14K","3.76%"
"12/01/2024","551.50","536.25","559.25","526.50","581.54K","0.64%"
"11/01/2024","548.00","591.25","597.00","543.00","1.30M","-3.94%"
"10/01/2024","570.50","584.00","617.25","557.75","1.57M","-2.31%"
"09/01/2024","584.00","531.50","596.25","530.50","629.29K","5.89%"
"08/01/2024","551.50","551.75","574.75","520.75","1.33M","4.60%"
"07/01/2024","527.25","556.50","573.00","514.25","718.77K","-4.74%"
"06/01/2024","553.50","678.00","697.75","538.00","1.32M","-20.87%"
"05/01/2024","699.50","604.25","739.25","593.50","1.16M","19.57%"
"04/01/2024","585.00","562.00","614.50","534.25","1.10M","1.61%"
"03/01/2024","575.75","575.00","583.50","523.50","995.25K","-0.30%"
"02/01/2024","577.50","595.25","611.50","555.25","1.07M","-4.58%"
"01/01/2024","605.25","640.00","640.00","585.25","424.34K","-3.62%"
"12/01/2023","628.00","569.25","639.75","569.25","386.60K","5.02%"
"11/01/2023","598.00","556.88","599.00","541.00","72.63K","7.51%"
"10/01/2023","556.25","544.30","604.10","541.10","72.02K","2.72%"
"09/01/2023","541.50","574.00","607.50","540.00","543.61K","-10.05%"
"08/01/2023","602.00","668.50","683.90","586.40","64.12K","-9.58%"
"07/01/2023","665.75","646.62","777.12","622.00","104.58K","2.27%"
"06/01/2023","651.00","608.00","770.25","607.00","1.28M","9.55%"
"05/01/2023","594.25","633.80","668.50","573.25","74.48K","-6.23%"
"04/01/2023","633.75","698.38","710.12","624.25","61.85K","-8.45%"
"03/01/2023","692.25","691.25","724.00","654.00","775.26K","-1.88%"
"02/01/2023","705.50","760.70","797.40","702.50","57.46K","-7.32%"
"01/01/2023","761.25","792.00","794.50","712.50","59.64K","-3.88%"
"12/01/2022","792.00","767.50","799.00","702.50","375.77K","-0.44%"
"11/01/2022","795.50","879.50","903.90","771.00","45.18K","-9.83%"
"10/01/2022","882.25","927.50","949.62","822.88","33.95K","-4.26%"
"09/01/2022","921.50","802.75","945.75","773.00","617.46K","10.82%"
"08/01/2022","831.50","814.12","848.50","725.88","28.06K","2.94%"
"07/01/2022","807.75","890.25","940.00","754.25","47.27K","-8.63%"
"06/01/2022","884.00","1,091.00","1,108.62","881.00","42.37K","-18.75%"
"05/01/2022","1,088.00","1,045.25","1,283.60","1,034.25","25.54K","3.05%"
"04/01/2022","1,055.75","1,003.00","1,143.50","982.00","785.79K","4.95%"
"03/01/2022","1,006.00","936.75","1,362.12","932.50","0.15K","8.41%"
"02/01/2022","928.00","762.50","951.25","740.00","1.06M","21.90%"
"01/01/2022","761.25","771.62","831.40","735.75","44.59K","-1.23%"
"12/01/2021","770.75","784.00","824.00","751.00","480.19K","-0.39%"
"11/01/2021","773.75","774.50","863.25","762.50","1.19M","0.13%"
